docno	text
1 @adyministrator_ @FreeSyrianMemes You mean 2M we humiliated as a population while under attack also from Yemen, Iran, Iraq, Lebanon? And also still fighting and dismantling Hezbo-Zbala, Gaza is 75% in rubble, Beirut cried &amp; bled, and IR were humiliated. https://t.co/kFRpOYwBAl
2	"Late at night, this is the situation in #Gaza City now. Zionist-American terrorism does not stop.
#GazaGenocide 
#GazaHolocaust 
#Israel_USA_WarCrimes 
#IsraelGenocideGaza 
#IsraelTerrorism 
#Israel_is_ISIS 
#HandsOff2025 
#Gaza_Under_Attack 
#IsraelGenocida 
#Trump is TERRORIST https://t.co/QV00RGGP2t"
3	"@code_burat @XH_Lee23 Sure, October 7th was not an attack. Gaza eas not occupied. Since 2005, Israel has withdrawn its military forces and settlers from Gaza, and the area has been under the control of the Palestinian Authority, followed by Hamas, which took control in 2007.

Try again."
4	@gazanotice Another heartbreaking attack on innocent lives, mostly children. Israel has once again targeted displaced civilians sheltering in tents. This is beyond inhumane. The world must wake up and hold them accountable. Free Palestine. Gaza under attack. End the genocide.
5	"@gazanotice The occupation doesn’t just kill humans; it erases life itself. Soldiers laugh while burning trees, chanting hymns of hate. Gaza is not just under attack—it’s being erased. 🌳🔥
#GazaUnderAttack
#FreePalestine
#IsraelTerroristEntity"
6	"@Raoul_Romo @SecRubio 😀🤣

Keep crying.

You guys are never done with fake Propoganda.
Modi did 2002.
Israel attacked Gaza.
Oh we’re peaceful, we’re under attack.
Terr*rism has no religion."
7	#Israel #Gaza #Trump #Musk #Netanyahu.  It Looks like our Freedom of speech &amp; received unbiased news is under attack because Israel has lost world sympathy &amp; their lies are no longer believed. https://t.co/r7Gq0dKMiT
8	@Mr_Andrew_Fox what about the palastians? People in Gaza are the victims of the creation of Israel living under occupation and siege for 65 years ,did you really think they will not fight back? October 7th was not an attack to kill all Jews. Stop exaggerating what is an already horable incident
9	@thecoyotetrader @TwistedMcGee @boss_on_here The Gaza genocide is happening today. Now. Your free speech is nothing compared to that blood being shed, and do not forget free speech is under attack ANYWAY in your own country.
10	"@Iran_GOV The takeover of West Bank &amp; Gaza are almost complete; Syria &amp; Lebanon are both invaded, Yemen is under attack, confrontation with Iran is planned: Israel is expanding.

The talks of ‘ceasefire progress’ are a game being played for Trump’s visit to Saudia.

There is NO ceasefire."
11	Kfc restaurant in Bangladesh under attack by Israel owner #FreePalestine #Palestina #Gaza https://t.co/cIzhsgtrml
12	@AliThoughts4 Why has there not been an October 7-like attack from the West Bank, which is under a more pronounced occupation than Gaza was until the end of 2023?
13	@TrackAIPAC @hoyageorge The world may have been different but Gaza was still under attack
